,Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
426,Oregon,Kavell,Bigby-Williams,37,1,9.8,17.9,103.6,93.8,0.523,0.455,85.7,0,11.3,21.1,15.2,0.032,0.005,0.084,0.172
427,Oregon,Jordan,Bell,39,38,28.9,17.8,123.1,88.9,0.666,0.641,43.5,5.2,12.3,22.3,16.3,0.114,0.026,0.085,0.19
428,Oregon,Payton,Pritchard,39,35,28.3,15.1,111.3,98.8,0.53,0.496,25.8,58.6,2.6,10.7,6.3,0.209,0.024,0.003,0.171
429,Oregon,Casey,Benson,39,4,20.9,12.2,117,102,0.595,0.553,34,56,2,7,4.3,0.144,0.018,0,0.173
430,Oregon,Charlie,Noebel,14,0,2.2,11.5,-,98.4,0.3,0.3,0,80,0,14.1,6.9,0,0.019,0,0.286
431,UCLA,Jerrold,Smith,13,0,1.9,26.6,58.2,103.8,0.295,0.273,18.2,18.2,0,0,0,0.056,0.044,0,0.144
432,UCLA,Armani,Dodson,1,0,2,24,-,114.6,1,1,0,0,61.1,0,25.6,0,0,0,0
433,UCLA,Isaac,Hamilton,36,36,30,23.2,108.1,107.3,0.562,0.54,13.4,47.4,3.4,9,6.1,0.139,0.013,0.005,0.136
434,UCLA,Aaron,Holiday,36,0,26.4,22.5,114.1,104.6,0.616,0.571,35.9,41.7,1.5,9.5,5.6,0.244,0.023,0.006,0.196
435,UCLA,TJ,Leaf,35,35,29.9,22,129.7,100.9,0.665,0.652,27.8,15.2,9.1,19.7,14,0.132,0.011,0.035,0.108
436,UCLA,Bryce,Alford,36,36,33,19.1,127.7,109.4,0.636,0.597,30.2,69.8,1.1,6.5,3.8,0.111,0.009,0.004,0.074
437,UCLA,Ike,Anigbogu,29,0,13,18.3,108.4,98.2,0.571,0.564,42.6,0,13.3,19.9,15.9,0.023,0.007,0.088,0.167
438,UCLA,Lonzo,Ball,36,36,35.1,18.1,130.3,100.5,0.679,0.668,28.6,56.6,3.2,14.3,8.8,0.314,0.029,0.021,0.187
439,UCLA,Thomas,Welsh,32,32,25.1,17.5,133.1,98.3,0.619,0.587,18.2,0.4,10.7,25.5,17.7,0.061,0.008,0.051,0.048
