Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
Michigan,"9 Abdur-Rahkman, Muhammad-Ali G",f,38,37,30.6,16.2,117.1,106.2,0.584,0.544,31.3,42.9,3.1,8.7,5.5,0.117,0.019,0.004,0.117
Michigan,"10 Donnal, Mark F",f,38,0,12.2,14.4,136.9,105,0.718,0.673,61.7,22.2,10.2,11.4,10.1,0.016,0.012,0.027,0.127
Michigan,"11 Simpson, Xavier G",f,38,0,8.7,12.9,102.8,101.8,0.521,0.43,72.1,44.2,1.6,7.8,4.4,0.184,0.038,0.006,0.251
Michigan,"12 Hibbitts, Brent F",f,10,0,2.2,10.3,-,109.4,0.75,0.75,0,100,12.3,11.8,11.2,0.150,0.000,0.000,0.500
Michigan,"13 Teske, Jon C",f,20,0,3.1,9.9,97.4,95.4,0.259,0.143,85.7,14.3,15.5,10.6,12.1,0.052,0.031,0.120,0.094
Michigan,"14 Davis, Austin F",f,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Northwestern,"1 Brown, Isiah G",f,35,2,14.8,28.7,90.2,101.4,0.449,0.377,38.9,31.8,2.2,6.7,4.1,0.158,0.022,0.015,0.136
Northwestern,"2 McIntosh, Bryant G",f,36,36,34.2,26.9,100.3,103.8,0.494,0.446,21.9,27.8,0.8,8,4.1,0.323,0.013,0.004,0.151
Northwestern,"3 Lindsey, Scottie G-F",f,32,32,30.6,24.6,108.2,100.3,0.539,0.5,21.1,46.9,2,11.7,6.3,0.159,0.019,0.010,0.095
Northwestern,"4 Law, Vic F",f,36,36,32.1,21.4,105.5,97.8,0.529,0.484,33.4,40.5,4.6,15.5,9.2,0.108,0.020,0.017,0.118
Northwestern,"5 Skelly, Gavin F",f,36,0,17.7,19,107.7,97.1,0.577,0.523,44.5,38.7,9.2,13.8,10.4,0.139,0.011,0.075,0.202
Northwestern,"6 Taphorn, Nathan F",f,35,2,12.2,16.1,124.7,103,0.666,0.65,14.5,75.5,3,10.2,6,0.110,0.007,0.018,0.114
Northwestern,"7 Pardon, Dererk C",f,28,28,30.8,13.7,122.7,95.6,0.612,0.611,40.7,0,12.1,16.9,13.2,0.072,0.016,0.063,0.132
Northwestern,"8 Benson, Barret C",f,32,8,8,13.2,115.8,94.9,0.601,0.591,52.3,0,9.4,12.8,10,0.088,0.021,0.081,0.169
Northwestern,"9 Hall, Charlie F",f,7,0,1.1,13,-,91.3,0,0,0,100,14.3,40.8,25.2,0.000,0.000,0.000,0.000
Northwestern,"10 Ash, Jordan G",f,27,0,3.8,12.6,-,97.8,0.375,0.375,0,75,1.1,11.6,5.9,0.166,0.030,0.011,0.200
Northwestern,"11 Falzon, Aaron F",f,3,0,6.7,10.4,-,102.7,0,0,0,100,0,10.9,5,0.237,0.000,0.054,0.250
Northwestern,"12 Lumpkin, Sanjay G-F",f,36,36,27.8,10,128.1,99,0.641,0.612,50,36.2,6,15.6,9.9,0.088,0.013,0.016,0.129
Michigan State,"1 Ward, Nick F",f,35,21,19.8,33.5,113.8,95.9,0.615,0.592,65.4,0,17.5,20.2,17.6,0.053,0.010,0.080,0.128
Michigan State,"2 George, Conner G",f,10,0,1.2,32.8,83.3,100.5,0.647,0.5,300,50,0,27,13.5,0.149,0.000,0.000,0.393
Michigan State,"3 Roy, Greg G",f,8,0,0.9,28.5,96,110.8,0.387,0.333,66.7,33.3,17.8,0,7.7,0.000,0.000,0.000,0.000
Michigan State,"4 Bridges, Miles G-F",f,28,27,32,27.1,107.1,96.3,0.585,0.563,25.3,39.6,5.7,23,14,0.145,0.013,0.049,0.140
Michigan State,"5 Harris, Eron G",f,28,24,22.1,25.5,102.1,103.9,0.559,0.524,24.8,47.4,2.8,11.7,7.1,0.155,0.011,0.008,0.153
Michigan State,"6 Winston, Cassius G",f,35,5,20.7,20.6,106.6,102.8,0.553,0.497,39,39,1,8.6,4.8,0.467,0.021,0.007,0.265
Michigan State,"7 Ellis III, Alvin G",f,35,8,19.4,19.3,98.4,100.4,0.549,0.514,31.7,62.8,4.1,13.7,8.6,0.118,0.019,0.020,0.193
Michigan State,"8 Langford, Joshua G",f,35,27,21,16.7,107.9,105.3,0.604,0.595,13.8,47.1,4.3,8.2,5.9,0.100,0.011,0.004,0.159
Michigan State,"9 Ahrens, Kyle G-F",f,34,4,8.2,15.9,107.8,105.4,0.565,0.536,22.9,64.3,2.7,12.8,7.5,0.053,0.002,0.000,0.105
Michigan State,"10 McQuaid, Matt G",f,34,11,21,15.5,101.2,106,0.502,0.474,20.2,69.4,3.3,6.8,4.8,0.103,0.012,0.003,0.125
Michigan State,"11 Goins, Kenny F",f,35,14,18.3,10.8,100.8,99.1,0.605,0.578,39.8,0,7.4,20.4,13.4,0.058,0.007,0.034,0.275
Michigan State,"12 Nairn Jr., Lourawls G",f,35,30,22.8,10.7,104.2,104.1,0.482,0.47,22.6,32.2,0.5,11.3,5.9,0.272,0.011,0.005,0.236
Michigan State,"13 Van Dyk, Matt F",f,32,4,7.3,10.7,109.1,98.3,0.54,0.538,88.5,0,14.5,11.6,12.1,0.089,0.023,0.053,0.249
Iowa,"1 Jones, Dale F",f,5,1,3,31.8,-,105.7,0.188,0.188,0,87.5,7.2,21.1,13.3,0.107,0.000,0.000,0.200
Iowa,"2 Jok, Peter G",f,32,32,30.7,30.2,113.1,104.9,0.587,0.516,36.2,47.3,3.3,15.6,8.9,0.175,0.019,0.003,0.129
Iowa,"3 Cook, Tyler F",f,27,26,24.5,25.2,102,105.5,0.581,0.558,52.8,3.5,8.7,14.3,10.8,0.079,0.015,0.017,0.186
Iowa,"4 Pemsl, Cordell F",f,34,14,19.3,21.4,112.1,101.7,0.625,0.617,63.8,0.5,10.1,17.4,12.9,0.110,0.021,0.037,0.180
Iowa,"5 Rose, Charlie G",f,7,0,1.3,21.2,-,109.8,0.333,0.333,0,33.3,0,11.7,5.5,0.192,0.000,0.000,0.250
Iowa,"6 Moss, Isaiah G",f,34,28,17.1,20.9,94.7,107.3,0.505,0.483,15.2,39.7,1.7,8.4,4.7,0.092,0.018,0.023,0.142
Iowa,"7 Bohannon, Jordan G",f,34,28,29.6,19.2,110.6,109.5,0.567,0.535,18.1,70.4,1,7,3.8,0.304,0.016,0.002,0.188
Iowa,"8 Kriener, Ryan F",f,28,0,8.4,19,100.7,101.8,0.569,0.558,21.7,7.2,7.4,20.2,12.9,0.088,0.014,0.038,0.192
Iowa,"9 Wagner, Ahmad F",f,34,18,16,16.6,109.3,104,0.515,0.512,66.7,1.6,12.6,10.2,10.6,0.147,0.028,0.026,0.159
Iowa,"10 Dailey, Maishe G",f,12,0,7.7,15.4,101.3,102.2,0.548,0.545,27.3,54.5,3.5,18.3,10.3,0.093,0.024,0.011,0.169
Iowa,"11 Uhl, Dom F",f,32,7,14.6,15.4,97,106.8,0.471,0.402,53.6,43.3,7,16.2,10.9,0.132,0.006,0.019,0.205
Iowa,"12 Baer, Nicholas F",f,34,10,23.8,14.7,121.9,98.7,0.573,0.562,21.7,57.1,9.3,16.7,12.2,0.126,0.033,0.053,0.108
Iowa,"13 Williams, Christian G",f,34,6,12.8,14.7,83.6,104.1,0.385,0.359,29.3,14.1,2.5,10.4,6.1,0.197,0.033,0.002,0.224
